airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-03-06,Delhi,Cochin,05:30:00,19:45:00,2295,2.0,In-flight meal not included,15864
Indigo,2019-05-06,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,3943
Multiple Carriers,2019-04-27,Delhi,Cochin,07:10:00,16:10:00,540,1.0,In-flight meal not included,6093
Jet Airways,2019-03-21,Delhi,Cochin,18:20:00,18:50:00,1470,2.0,No Info,12604
Air India,2019-03-09,Delhi,Cochin,08:00:00,19:15:00,675,1.0,No Info,16754
Indigo,2019-05-24,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No Info,3943
Jet Airways,2019-04-15,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4544
Spicejet,2019-04-03,Kolkata,Banglore,15:05:00,20:20:00,315,1.0,No Info,4649
Spicejet,2019-06-21,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Air India,2019-03-18,Banglore,New Delhi,00:30:00,08:45:00,495,1.0,No Info,13859
Air India,2019-03-09,Delhi,Cochin,23:00:00,07:40:00,520,1.0,No Info,10840
Jet Airways,2019-05-06,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,In-flight meal not included,7757
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,In-flight meal not included,9314
Vistara,2019-04-15,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,5613
Spicejet,2019-03-27,Mumbai,Hyderabad,22:45:00,00:10:00,85,0.0,No Info,1759
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,No Info,13626
Jet Airways,2019-05-15,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,7229
Jet Airways,2019-03-15,Banglore,New Delhi,07:00:00,12:25:00,325,1.0,In-flight meal not included,9134
Jet Airways,2019-05-21,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,13029
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,12:35:00,1235,1.0,No Info,14714
Air India,2019-06-21,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No Info,3100
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No Info,14781
Air India,2019-03-18,Banglore,New Delhi,08:50:00,10:35:00,1545,2.0,No Info,11885
Jet Airways,2019-04-01,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,No Info,11467
Goair,2019-05-09,Delhi,Cochin,07:25:00,13:35:00,370,1.0,No Info,5842
Air India,2019-05-03,Chennai,Kolkata,11:40:00,13:55:00,135,0.0,No Info,4667
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,23:25:00,1575,1.0,No Info,13759
Indigo,2019-03-21,Delhi,Cochin,17:10:00,01:35:00,505,1.0,No Info,7318
Jet Airways,2019-03-01,Banglore,New Delhi,20:35:00,11:25:00,890,1.0,No Info,31825
Indigo,2019-06-06,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Jet Airways,2019-06-06,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,8016
Air India,2019-04-03,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No Info,5176
Air India,2019-05-27,Delhi,Cochin,21:00:00,19:15:00,1335,1.0,No Info,8372
